Archivo,Texto,Prediccion
208ac2af-40b7-4858-a9d2-0f853707e985_20230401T15_27_UTC.txt,sí sí sí pues sí sí sí no realmente ahorita no tengo no tengo la de hecho tengo otras opciones entonces no quería ir a ver cómo era la carrera nada más por el momento yo creo que la descarto dale dale muchas gracias igualmente hasta luego,Positivo
25c6705e-b182-45c5-bdc8-f3c815d5fe05_20230401T14_01_UTC.txt,sí bien bien sí sí señora pues fui solo un día porque el resto ya me quedé por el colegio pero muy bien muy chévere pues realmente no sé bien pero pues sí es algo que me gustaría estudiar pero no sé bien pues en la casa hay que hablar nada que mi papá me ha visto bueno no estoy en eso bien muchas gracias gracias,Neutral
2cf97530-4798-41a5-b3df-8c975c328d49_20230401T14_10_UTC.txt,habla con la mamá le puedo colaborar sí señora mucho gusto les habla ingrid ambula de la universidad javeriana cali cómo está bien muchas gracias bueno me alegra mucho el motivo de mi llamada es porque sabemos del interés en el programa de arquitectura de saraya y en este momento deseamos brindarle información del programa ah súper ve princesa lo que pasa es que yo en este momento estoy como enredadita acá en un banco es posible de pronto que me llames más tarde o lo cuadramos el lunes discúlpeme o la llamo ah perfecto le agradecería mucho entonces qué van a esperar vale gracias que pase bien un feliz día,Negativo
2fef37bb-f438-4819-bb85-0d2f8cb52934_20230401T16_38_UTC.txt,sí no hay ningún problema estoy por graduarme estoy en once h herato calendario b y ya presenté el ictes señora no la verdad yo ingeniería mecánica es mi segunda opción pero me interesó mucho la carrera pero me tocaría esperar a la carrera del icfes y esperar porque pienso esperar hasta pues hasta que me entreguen el libro yo pienso mejor y ahí sí ya me tomo la decisión y toda la información ya la tengo porque me entregaron los papeles te entiendo pues la verdad que es fuerza aérea pero tiene muchos filtros igualmente,Neutral
345d8040-eb37-45e6-a050-f5400158c74c_20230401T14_38_UTC.txt,pues miré que sí estoy interesada pero le había dicho incluso a la persona que si no había una opción o si ustedes no tenían planeado hacerlo presencial porque a mí me parece que finanzas virtuales son complicadas entonces esa era como mi presencia la persona me dijo que por ahora creía que no cuándo es que empieza veintiocho de abril y las clases son yo realmente lo estoy buscando presencial pero me interesa tomarlo rápido no sé si lo puedo definir el lunes porque me preocupa esa parte y quiero pensarla bien la parte de la virtualidad sí sí sí bueno entonces déjamelo para el próximo lunes después de semana santa y yo lo pienso lo quiero pensar porque es que yo por mi yo soy un poquito dispersa sí entonces no es que sea un dinosaurio pero yo sí me desconcentro fácil sí claro entiendo que eso no todo es del profesor claramente dale no entonces si quieres el lunes después de semana santi yo voy pensando en en una estrategia a ver si lo puedo tomar así es que me preocupa porque ya tomé uno así y no me funcionó obviamente mi responsabilidad parte pero pues yo sí vale perfecto gracias bueno hasta luego igualmente,Positivo
38028477-df8a-428d-84bf-9b9db5bf7114_20230401T16_42_UTC.txt,no él no se encuentra hablas con la mamá de él algún mensaje bien bien muchas gracias cuéntame ya si era ayer cierto lo que pasa es que el colegio no dio permiso porque mi papá estaba muy interesado la verdad en asistir pero el colegio no le dio permiso para poder ir entonces no sé si tú le puedas mandar toda la información aunque nosotros tenemos el pencil lo tenemos sí señora pero igual si tú le podrías mandar la información al correo pues sería mejor está ahorita haciendo el servicio social en la cruz roja entonces yo creo si tú le puedes regalar una llamadita a la una y media o dos ya está con nosotros pues mira él también está interesado en ingeniería electrónica incluso él sí asistió a la pasantía en la javeriana entonces es un sí es como las dos o sea la verdad a él le gustan muchísimo las dos aún no sí bueno muchísimas gracias hasta luego feliz tarde,Neutral
3a6e48f1-725e-4676-85f6-153a5e7ff8d8_20230401T16_29_UTC.txt,sí señora bien sí ahora en julio sí cuando dices que los estudiantes pueden no entendí los estudiantes pueden ir a otros países a hacer la carrera allá también y la opción es internacionales a qué partes del mundo pueden se puede presentar no pero ahora no no lo tengo listo muchas gracias hasta luego,Neutral
3d4d837b-8d47-42f3-9c16-09f641fe5b7c_20230401T15_56_UTC.txt,sí quién habla muy bien gracias natalia sí pude ampliar mis conocimientos sobre las carreras que quería y bueno realizar distintas actividades que me satisfacieron la verdad no fue uno fueron dos programas fueron industrial y negocios internacionales vale y yo tengo una pregunta dime si yo tengo un descuento el descuento aplicaría para doble programa también el de colaborador o como llamas el descuento de ajá entonces el descuento pero eso aplicaría para un nuevo programa entonces tú de qué área me llamas ah del call center ok de momento yo creo que está en modo de escribir pero yo en cualquier caso hablo con mi papá que es el que trabaja allá y yo me inscribo en caso dado sí en caso de que tenga alguna duda yo los contacto natalia vale vale igualmente,Positivo
4614a9e8-1fc4-48c9-92dd-0963e237e3da_20230401T15_45_UTC.txt,buenos días sí sí pues aún no puedo porque apenas estoy en décimo así que no no a finales del siguiente año yo les contactaría gracias,Negativo
4648b334-55fd-4029-8a6b-56ae900bc728_20230401T15_01_UTC.txt,sí señor con él habla muy bien gracias lo que pasa es que yo estaba realizando cotizaciones de algunos cursos no señor ok de acuerdo que estén muy bien hasta luego feliz día,Neutral
537c6e4a-05b4-44cd-8664-798bc78bcfe6_20230401T14_55_UTC.txt,sí señora muy bien y usted sí sí los tres días desde el miércoles sí y también fui el martes a mi colegio ah súper me gustó mucho me informé más de las cargas que quería estudiar la metodología de sus materias y sí me gustó también la instalación y todo pues hasta el momento lo que he tenido pensado es hacer doble carrera que creo que es algo que nos explicaron de administración de empresas y negocios internacionales no sé cómo será ahí si tengo que hacer primero una u otra ajá sí eso yo un amigo me comentó de eso de ese proceso y yo me visité para las notas en el colegio como hace dos semanas pero nada que me las envían,Positivo
54357403-9ec1-4340-8f7e-1f686441e918_20230401T13_56_UTC.txt,ah cómo te va mamá todo bien todo bien cuéntame cuándo es que inicia y me puedes recordar el costo ah bueno listo listo vale gracias no voy a tenerlo en cuenta voy a revisar yo estoy trabajando pero gracias por la llamada porque no me recordaste vale listo te agradezco,Neutral
5868843b-8fcb-4d67-bdd9-f510acba77e0_20230401T16_22_UTC.txt,de parte de quién hablas con la mamá no tú has tomado alguna decisión no que todavía no saben sí claro me parece que es muy importante que sigan como universidad un resultado del icfes para que no entre cualquiera sino gente que tenga un buen nivel eso nos pareció muy extraño nos pareció muy extraño eso que reciben pues sin ife no nos pareció como correcto ese tema,Neutral
59c281a8-bc44-4807-9cd5-badae33507ee_20230401T14_27_UTC.txt,sí sí señora y tú y cómo es no te escuché esa parte bien sí ah sí sí sí no ahorita en junio me gradué sí a ver listo entiendo y ustedes tienen convenios con empresas o cosas así sí y yo tengo otra pregunta será que ustedes no me pueden ofrecer días más para ir a la universidad a ver cómo son las clases así un día no sé sí vale por favor gracias no no así está bien vale gracias,Neutral
5b686c92-3b3b-4511-9dd0-ce4dd4e97313_20230401T16_06_UTC.txt,sí bien gracias ah sí pero yo todavía no acabo el colegio ah bueno en qué grado estás no yo me graduo ahorita en junio pues en julio específicamente no la verdad yo todavía no sé qué estudiar bien sí aunque yo ya lo conocía no porque ya había ido otras veces dale muchas gracias bien bueno lo mismo,Negativo
6341e565-756d-4d36-a3c0-b1b8002f3c34_20230401T15_16_UTC.txt,estoy provocado,Neutral
635e4862-decc-4299-a0fa-4a16cc6c031e_20230401T14_46_UTC.txt,sí señora bien y tú no señora muchas gracias ya todo está claro listo muchas gracias,Neutral
6fddad58-12fe-447a-afcf-0ea1b69384fa_20230401T13_40_UTC.txt,hablo con santiago mesa hablas con natalia de la universidad de jaureana de cali cómo estás qué bueno santiago el motivo de mi llamada es porque no llegó quería preguntarte si pudiste participar el día de ayer en las pasantías ok quería preguntarte cómo te fue pudiste resolver todas las dudas inquietudes que tenías ok quería preguntarte si ingeniería electrónica aún sigue siendo tu programa de interés sí aún sigue siendo ok y el día de ayer te comentaron que tú cuándo finalizas el colegio ahorita a mitad de año sí ahorita ya lo tengo ok ayer te comentaron que la universidad está dando la oportunidad de que vayas adelantando todo tu proceso con las notas del colegio con las notas de noveno a once para que no tengas que esperar ni depender del resultado de la prueba a saber sabías eso ok quieres que me contacte nuevamente para validar o prefieres contactarnos en caso dado dale santiago estaremos muy atentos a cualquier duda o inquietud que tengas listo muchísimas gracias por recibir mi llamada y que tengas un excelente fin de semana dale hasta luego,Neutral
7071d053-4612-4ad6-a546-d8b06d519f19_20230401T14_29_UTC.txt,bien no pues ya no estoy esperando pero sí sí sí señora vale vale gracias,Negativo
766af491-c347-4362-be9a-171ed1ba520b_20230401T16_43_UTC.txt,sí con ella muy bien y usted sí pero no he recibido la información de cuánto cuesta cuándo inicia nada listo vale gracias igualmente hasta luego,Neutral
78b2705d-5c2c-4f63-a30f-466b61e80dc3_20230401T14_50_UTC.txt,sí buenos días bien y usted sí sí fui el jueves a la universidad bien muy bien muy bien sí nutrición esa es una cosa que me dijiste cuando te equivocaste de porque no es dos mil veinticuatro es dos mil veintitrés sí,Neutral
7955c3c1-0559-4cc5-af77-d8372f84c30d_20230401T15_35_UTC.txt,señora hablas con ella sí yo asistí a los tres días muy bien todo me gustó mucho las actividades todo muy bien muchas gracias sí escogí nutrición y dietética sí inclusive ya estaba recolectando lo de los papeles de inscripción solo me faltan las notas de novena once y ya no ya lo presenté no ya todo a partir de los doscientos cincuenta sí muchísimas gracias,Neutral
7ca5403c-0582-4b4f-ba05-4abed3603f4f_20230401T15_39_UTC.txt,john alejandro no yo soy la mamá pero en este momento no está conmigo sí él estuvo ayer en la universidad aprovecho que usted está aquí por ejemplo es que él quería también recibir información de otra carrera cómo se hace ahí también para que él pueda asistir o alguien que me le dé información allá él está en dos arquitectura y biología entonces él quiere que le den también así que le hablen de biología no el de arquitectura ya sabe porque él estuvo ayer toda la mañana en la universidad y la información que usted me da es por teléfono nomás ah bueno si quiere envíenme este número yo ya la paso sí permíteme permíteme,Neutral
85783ad3-d6a6-4f32-9e97-fad6929351e6_20230401T14_41_UTC.txt,sí en el momento estoy ocupado estoy en servicio social me puede llamar un poquito más tarde después de la clase de puerto vale gracias,Negativo
8de21dcb-f085-4c02-ab84-0f3a31bcb975_20230401T15_20_UTC.txt,sí sí señora dígame quién necesita ah súper bien y tú sí sí señora estuve los dos últimos días súper bien la verdad súper chévere ingeniería industrial pues es que todavía no sé si voy a entrar directamente o sea si voy a entrar a la javeriana no sé si voy a entrar directamente después de terminar el colegio entonces como que todavía estoy organizando bien sí sí señora igualmente como te decía pues como no sé si voy a entrar a estudiar apenas termine pues no mis papás no si algo yo los contacto ale igualmente chao,Neutral
97d7be85-0c18-450d-bead-cc8ab66b6589_20230401T15_02_UTC.txt,con quién hablo bien y tú pues mira que yo le había dicho a ella que se me pudieran llamar el lunes porque salí otra noche y voy a dormir ah entonces cuando vuelvan no es que la hora de salir es cuando sí tengo sueño y me estaba quedando a dormir,Neutral
993dc711-9890-4a2c-ba47-09afaa81f7f6_20230401T14_23_UTC.txt,sí sí participé en los últimos dos días sí primero me metí en ingeniería de sistemas pero pues ya sí o sí apenas terminé el colegio me meto a ingeniería de mecánica que fue la última que vi a mediados de julio no señora me han llamado para eso hace dos días pero pues dije lo mismo porque igual estoy sí señora dale igualmente,Neutral
9a4b8c11-1fca-486c-83d9-df02daf7092f_20230401T16_47_UTC.txt,sí gracias bien gracias ya ya estoy por el momento no por el momento no tengo muy seguro de inscribirme o no entonces no por ver otras horas muchas gracias,Negativo
9a72fb9a-366e-4065-8c31-b8efc56d0a5a_20230401T16_18_UTC.txt,sí con ella bien sí señor sí sí señor quería averiguar digamos esto es online cierto y el precio cuándo inicia bien el horario de las clases ah ok sí bueno yo cualquier cosa pues yo escribo ahí por la página a ver si tengo de pronto la disposición vale muchas gracias,Neutral
9fbc4011-3322-4602-9ec1-9b6af0060898_20230401T14_32_UTC.txt,buen día con quién hablas bien y usted no en ese momento tengo todo muy claro en el momento no porque estoy mirando más carreras tanto como economía mercadeo finanzas entonces no me he decidido por alguna sí igualmente,Negativo
bbbe1178-e3c3-4589-81f6-856f9853a8be_20230401T15_02_UTC.txt,quién habla sí señor y usted no no no es posible pues de pronto sí algo relacionado con ese tema no hay cierto sí otra carrera pues otra especialización pues no a mí me sirve seguridad en el trabajo pero seguridad social pues hay una relación al respecto y pues también es complementaria porque yo necesito algo complementario pero pues yo la verdad no vi la única que se relacionaba más o menos era esa no que te pregunten cómo sale una nueva no sé sí diplomado ya tengo varios yo quiero ya como una especialización en algo bueno señora señora mil gracias,Negativo
c03add8d-e73d-4714-a4c6-ed1e19f569c5_20230401T14_17_UTC.txt,eh con la abuela sí cómo está claro que sí el efectivo anual nominal y el efectivo y otra cosa ese uno por ciento o punto nueve por ciento efectivo anual es para el préstamo que otorga la universidad el del ictex qué interés tiene o ya está en cero financiación qué puntaje dice que se exige perdón te pregunto pero la ponderación sería por materias por decir algo dibujo tendría una ponderación distinta a lenguaje o a no ahí ya apenas está siendo décimo lleva medio año en décimo o sea ya no se agrega por materia no señora no sabía ah ok solamente eso o sea nada más dos colectores que cada uno gane un mínimo o uno que pueda chequear en data crédito imagino que tenga por lo menos dos mínimos de ingreso y nada más no le exigen nada más y cómo empieza a pagar cuándo debe comenzar a pagar ese crédito cuándo termina carrera o antes se paga dentro del semestre creo que es al finalizar la carrera no tienen algún programa específico no ella es de colegio privado ella tiene ets tiene medicina prepagada son ilogrables o sea trescientos sesenta puntos es una utopía yo creería que el cero coma cero uno por ciento de la población alcanza de puntaje no no te escucho yo fui hasta el décimo ah hasta el décimo siempre estamos explorando carreras ustedes tienen todo su pensión en la página porque es que yo anoche hablando con la mamá y con las tías nos reuníamos acá y decíamos sofía no es la más juiciosa del mundo yo no me imagino a sofía a las seis de la mañana iniciando una maqueta y a las once doce de la noche terminando de pegar el pecho entonces sofía es una niña que sí es estudiosa que es muy inteligente pero no es aplicada o sea sofía le gusta estudiar ir al gimnasio salir con amigos este no la veo en esas entonces yo decía tiene que ser una carrera que le brinde o sea sofía tiene aptitudes para el dibujo para lo bonito tiene unas ideas geniales para diseñar pero su actitud digamos hacia la carrera yo no la veo entonces estábamos considerando bueno diseño no sé qué entonces alguien decía no diseño no sirve para nada porque la hija de fulano ha estudiado y está varada lleva diez años sin conseguir empleo y estábamos pues como en ese estancado entonces mirábamos alejandra la hermanita de ella estuvo a un cierre estuvo el jueves en la pasantía que ustedes dictan en derecho yo le dije a alejandra sí sí yo le decía vos sos líder tenés buenos argumentos te veo como jalonando pero no te veo en derecho yo tengo un sobrino abogado entonces yo le decía yo no te veo en derecho yo te veo más a vos como en negocios internacionales como en mercadeo como en administración de empresas yo soy administrada de empresas mi hija es contadora yo le decía tampoco te veo como contadora entonces yo le decía adicional derecho no tendrás nunca a graduarte sí y ella es juiciosa pero yo le dije pero aleja a vos también te gusta hacer deporte te gusta salir a tus vacaciones entonces yo no sé yo no te veo como eres adicionales muy como de que la hermenéutica que la no sé cuál entonces yo le decía no sé aleja yo no te ubico tampoco entonces yo le decía a sofía yo no sé yo te ubico más en psicología de pronto y aleja le decía yo te ubico más como administradora de empresas como en negocios internacionales como jalonando otra cosa distinta mercadeo usted me decía ay abuela pero ya las pasantes yo le dije bueno tenemos todo el tiempo del mundo tenemos un año y medio dediquémonos a buscar con wilson a ver dónde es y le dije y adicional quince millones para las adriana no tenemos hay que ser objetivos le dije no podemos dos quince y el hermano había veinticinco y eso nos ganamos en diez años entre tu mamá y yo yo estuve en la javeriana con mi hijo mi hijo tiene en ese momento tiene cuarenta y algo de años cuarenta y cuatro años y en su momento cuando tenía diecisiete dieciséis que ya iba a la universidad yo lo matriculé en la javeriana en ingeniería industrial entonces un día cuando era los tres meses de estar estudiando yo arrimé a recogerlo y saliendo me dijo mamá y yo qué mi amor industrial no es para mí y yo bueno y me dijo voy a entonces yo le dije te voy a ayudar con una psicóloga que te haga como un chequeo y te oriente te dé orientación es muy buena lo llevé a la autónoma donde la esposa de un amigo que está en clase allá y que era psicóloga en esa época lo orientó y le dijo usted puede hacer negocios internacionales mercadeo no sé cuál no sé qué más administración no recuerdo qué abanico entonces me dijo negocios internacionales porque ya estuve ya miré fui a una clase me los toca y sí ese era donetsk perdimos el semestre y la plata y el tiempo yo soy administradora de la valle y me encanta mi carrera entonces yo le decía a la administración muy buena me decía abuela pero es que yo no sé yo no me ubico y además yo no quiero gerenciar sí ya se graduó en el próximo año en junio si dios quiere con una crítica perspectiva pero no sé si decirte no que a aleja no le gustó la javeriana a quién a la que fue a ver derecho porque es que aleja es muy contestataria aleja es una niña muy inteligente y va adelantada cien siglos al tiempo entonces me dijo abuela no me gustó cuando salió yo le dije por qué le dijeron niña tú te miraron la barca de los zapatos que compraste en treinta mil pesos era muerta la risa me dice no igual los mandas y las moscas si me hacen eso entonces qué pasó la señora que nos habló era estrato sin cuenta esa señora decía que la universidad era lo mejor y que era mejor que todas las demás universidades yo creo que uno tiene que compararse con uno mismo pero con los demás eso está mal hecho porque eso no es ético y le dije yo bueno sí estamos de acuerdo en eso me dijo adicional ella nos vendió como una cosa como un favor muy grande y como una cosa humilde que hacía la universidad ir donde están las personas marginadas ir a las correccionales a los sitios donde la gente ha caído de gracia y ofrecer como unos cursos o unas capacitaciones que hace la universidad profesional con la gente pues digamos que ha robado con los adolescentes entonces me dijo eso no debe ser abuela porque esa es la obligación de una universidad o no es una sociedad para que la gente prospere y no sé qué todos tenemos que jalar para el mismo lado no sé qué no sé qué y yo le dije sí tenés razón en eso y le dijiste me dijo no yo no me voy a meter con eso te lo cuento a ti porque sé que es muy duro uno vender los servicios públicos o sea vender un ser un intangible es muy difícil entonces a este cuento fue la crítica como medio constructiva eso es todo malo de algo el lenguaje no verbal y el lenguaje verbal se juntaron y pues eso generó distancia ajá sí habla mucha gente que no yo estoy la javeriana es una súper universidad la universidad de la vida yo era criatura tenía que graduar allí de hecho por eso lo matriculé allí con el sacrificio del mundo porque yo vivía de un sueldo y se presta maricetes bueno pero igual yo voy a estar pendiente para que ella de pronto el próximo año vuelva y de pronto vuelvan a otras carreras es que yo creo que derecho no es para aleja y creería que arquitectura para sofi tampoco por la dedicación sofi no es la más juiciosa aleja es muy juiciosa sin embargo aleja es rápida y ya se desocupa sophie no es la de hacer tareas ella todo lo aplaza entonces yo le digo pero a vos te gusta mucho procrastinar no y sophie tiene un problema sophie es muy inteligente entonces sophie de entrada capta y pierde el interés ella ta ta ta y uno le empieza a explicar ya ya ya ya ya entendí yo creo sí ella no es la de dedicarse no pero de verdad muchísimas gracias bueno listo muy amable de verdad muchas gracias,Positivo
c69e3cc5-d9de-448a-a966-e7820dfc0648_20230401T14_54_UTC.txt,sí bien y tú sí dime en espera no pues todo lo tengo muy bien claro si van a ingresar en este periodo o en el otro sí ok vale listo gracias igualmente hasta luego,Neutral
cc9d1ce4-fdb4-4330-b89b-4536f4f116a8_20230401T13_55_UTC.txt,sí buenos días habla la mamá gracias ah ok pero es que o sea yo estoy trabajando acá y el celular de él se dañó ah sí señora sí muchas gracias sí por whatsapp este es mi número ok muchas gracias igualmente hasta luego,Neutral
de4d233e-6161-4b1a-abcc-e65ca771d84d_20230401T13_38_UTC.txt,sí señora hola yo soy socióloga de la universidad pacífico de comuna de ventura pues sí sí cómo hago para aplicar a la beca y qué le digo cómo hago para apreciar la beca yo tengo las ife desde el dos mil nueve son muy viejas tendría que volver a hacerlas para este año las pruebas ife,Neutral
e2b0299e-e174-44ff-b09a-70a045d46b01_20230401T16_38_UTC.txt,sí con ella bien sí señor usted cómo está sí pues quisiera conocer cómo los horarios los costos para ver si me animo o no no hasta ahora no solamente usted que me llama sí estoy de acuerdo muchísimas gracias gracias,Neutral
edad47b0-b587-4725-9078-eea28e991b35_20230401T13_24_UTC.txt,vale vale bueno yo soy ingresado de otra universidad no no no continúa está muy claro sí sí sí sí soy egresado soy abogado ya o sea ese es el único horario o sea no hay otra forma solo ese lo que pasa es que el viaje a cali o sea una vez al mes sí estaría bien pero cada quince días creo que ya se me vuelve un poco complejo por cuestiones de trabajo más que todo yo creí que era no no no yo vivo en la ciudad de pasto lo que pasa es que yo creí que pues había visto otras y sí algunas son una vez al mes cierto pero cada quince días sí se me hace un poco complejo cuándo hay plazo para inscribirse sí sí sí ese sería pues como el mayor de los inconvenientes vale vale vale sí sería como revisar bien para ajustar horarios a ver cómo podría ser sí este es mi número de whatsapp y una pregunta bueno digamos que en el caso de la maestría por temas del horario sí se dificulta un poco hay especializaciones con ese mismo enfoque y tú me puedes enviar esa información claro que sí te agradecería enviar esa información al correo hasta luego,Positivo
efe98a6a-5455-4e15-aeee-48eaab0cce45_20230401T15_07_UTC.txt,sí señora con ella habla muy bien gracias a dios pues mira yo sí estaba muy motivada pero no debo posponer creo que sí no recuerdo no en este momento no lo podría tomar a cómo quedarían las tasas mensuales un momento no no realmente no no me quedan las cuotas muy altas y estoy ya en otro proyecto entonces no para no quedar mal y no generarme yo pues dolores de cabeza innecesarios cómo es que es el nombre completo de este programa ay sí me gusta pero bueno para la próxima si dios quiere muchas gracias por la información,Negativo
f7f10ec8-adba-4ac0-86fe-19ac6dd3d24e_20230401T15_38_UTC.txt,buenos días qué pasó bien sí sí pude no señora no señora no señora prefiero la próxima vez contactarlos,Neutral
01c81113-4cf4-4892-a080-ebe8f26c767a_20230410T21_24_UTC.txt,sí buenas tardes en qué le puedo ayudar sí señor lo que pasa es que para la facultad de ciencias de la salud ese es el valor de los derechos de inscripción sí señor como le indicaba anteriormente el valor de los derechos de inscripción para la facultad de ciencias de la salud es de quinientos ochenta mil pesos bueno en este caso ya sí puedes colocar cualquiera y al momento de finalizar el formulario pues notifica que no aparecía ahí la institución a la cual usted pertenecía,Neutral
025d7914-af83-481c-928e-9d9135c9da81_20230410T20_06_UTC.txt,bien muchas gracias mira yo ya estuve mirando como la página pero quería saber el valor del semestre es como lo que me falta doce millones el semestre sí doce millones me regalas el otro monto por favor doce millones qué trescientos diecinueve mil vale ese era el único dato realmente que me faltaba yo ya tengo también pues una compañera que se va a graduar de allá y me gustó pues lo que ella me contó entonces pues no me alcanzó a decir fue el monto diez y medio pena seguirla molestando pero yo ya miré como las asignaturas mire pues yo soy de bogotá entonces mire también cómo era lo de las clases para poder viajar si algo ahí dice que es de miércoles miércoles jueves viernes sábado cierto ah bueno ok vale eso era lo único que me faltaba la verdad muchísimas gracias listo gracias hasta mañana hasta luego,Positivo
0475a9f6-8cfd-46cc-9811-a2c0bd254cba_20230410T20_19_UTC.txt,muy bien gracias sí claro cuento con el espacio psicóloga de la san buenaventura no señora sí sí tengo disponibilidad ok y cómo es la de la beca bueno listo lo va a revisar muchísimas gracias,Neutral
